x,y
1188,541
1181,540
1190,537
1200,517
1152,459
1109,448
1060,425
1004,418
937,429
860,389
885,322
956,220
916,237
797,346
787,367
897,367
917,358
913,396
936,474
948,477
954,471
954,472
942,511
967,562
982,563
983,560
1005,613
1015,634
1015,636
1015,636
1046,504
1230,163
1361,51
1346,92
1330,139
1314,176
1286,189
1268,174
1253,189
1250,197
1249,196
1249,196
1249,196
1216,153
1165,106
1164,107
1164,116
1164,116
1164,116
1164,117
1164,118
1164,118
1164,115
1164,115
1164,115
1164,115
1164,115
1164,115
1164,115
1164,115
1164,115
1163,127
1172,144
1191,164
1235,204
1275,252
1283,298
1278,331
1275,342
1273,340
1273,341
1273,341
1273,341
1273,341
1273,341
1273,341
1273,341
1273,341
1273,341
1276,346
1286,363
1299,389
1303,404
1310,423
1317,433
1323,444
1325,456
1326,473
1317,503
1308,543
1300,573
